,dimension_1,dimension_2,dimension_3
item_2805,1.50835,-1.39834,-4.857
item_2806,-1.08751,1.02799,3.22262
item_2807,3.29553,-1.30119,5.5298
item_2808,-4.38671,-4.36725,1.63453
item_2809,0.905152,-1.81245,-5.17877
item_2810,0.438554,-0.143604,-5.47621
item_2811,-1.00087,2.29871,2.31718
item_2812,-2.73529,-5.96146,0.817433
item_2813,2.59938,3.16982,1.90695
item_2814,3.21885,3.06439,3.17849
item_2815,3.45594,1.63424,-4.80087
item_2816,1.49831,-1.01139,-4.97054
item_2817,-0.632413,0.931497,4.89303
item_2818,-4.71526,2.295,-1.16835
item_2819,-1.59419,1.15038,4.54467
item_2820,0.298073,-1.43104,-5.55073
item_2821,-1.11331,1.2564,4.9415
item_2822,1.46142,0.0549332,-4.7677
item_2823,-5.43862,0.745342,-2.57975
item_2824,-3.00012,-5.25892,0.746032
item_2825,2.17743,3.33795,2.18802
item_2826,3.10603,-0.140618,-3.85391
item_2827,3.18001,-1.26883,5.71602
item_2828,0.421369,-0.134774,-5.3243
item_2829,-5.18605,0.967893,-2.40445
item_2830,0.30669,-1.72909,-5.01139
item_2831,-7.36002,-3.39678,2.09583
item_2832,-3.55011,-5.27281,0.910029
item_2833,1.17732,-1.24999,-4.57623
item_2834,-0.879527,0.191271,3.69579
item_2835,-0.747958,1.91399,4.86899
item_2836,3.08118,-0.234432,-4.76792
item_2837,-5.27257,0.862359,-2.32129
item_2838,-5.39978,1.3638,-1.88087
item_2839,-3.7569,1.70988,-0.669068
item_2840,4.76943,-1.21517,5.14805
item_2841,2.56298,3.10664,1.83603
item_2842,-0.841228,2.78388,2.13178
item_2843,-0.405836,2.81357,1.70389
item_2844,-4.17626,-4.26169,1.53229
item_2845,2.50202,1.80001,-3.80467
item_2846,-0.843859,0.432678,4.1445
item_2847,2.62925,2.93537,2.45042
item_2848,3.2233,2.88951,3.10687
item_2849,2.93474,1.30472,-4.76969
item_2850,-5.14518,1.58992,-1.54013
item_2851,-5.28274,0.910784,-2.46065
item_2852,3.01797,3.25045,2.14719
item_2853,2.705,0.20251,-3.33027
item_2854,-2.39915,-5.88276,0.776919
item_2855,3.70492,-1.31837,5.69646
item_2856,3.314,3.16781,3.21827
item_2857,2.73402,0.664515,-4.81959
item_2858,0.435883,-1.12214,2.18587
item_2859,-7.0529,-3.02666,2.30938
item_2860,0.143037,0.532106,-5.66546
item_2861,1.52151,0.513677,-3.91716
item_2862,-0.197632,-0.476565,2.47826
item_2863,-5.3531,0.551857,-2.40641
item_2864,-4.65624,1.85924,-1.07202
item_2865,3.45211,-1.41144,5.73859
item_2866,3.52185,0.766611,-4.3651
item_2867,1.58999,3.20874,1.98306
item_2868,3.14523,1.11269,-4.83105
item_2869,-0.4433,-0.244431,2.89842
item_2870,0.152788,-0.918018,2.19135
item_2871,-4.67775,-4.59142,1.07848
item_2872,-1.38977,0.772122,4.91764
item_2873,-6.69072,-3.47243,1.69178
item_2874,4.5357,-0.924425,4.80496
item_2875,0.98489,-1.70969,-5.17341
item_2876,3.1174,2.92372,2.99629
item_2877,-7.17272,-3.1728,2.00688
item_2878,3.2433,3.02834,3.18505
item_2879,-4.46624,-4.369,1.40815
item_2880,3.53552,3.57151,2.81546
item_2881,-5.71142,0.322766,-2.92692
item_2882,3.44975,0.554719,-4.70354
item_2883,4.06088,-1.89959,5.58242
item_2884,-0.877136,0.617847,4.91463
item_2885,-3.95326,1.56074,-1.1521
item_2886,-0.224549,-0.216123,2.67248
item_2887,-0.945897,0.807615,4.86827
item_2888,3.4339,3.25154,3.26128
item_2889,-0.0617311,1.27528,-4.69415
item_2890,-4.30262,-4.35007,1.46321
item_2891,3.29774,-1.24213,5.7626
item_2892,0.274158,-0.14865,-5.55997
item_2893,3.40534,3.15017,3.00542
item_2894,0.580185,1.27233,-5.31644
item_2895,-4.95519,-4.42778,1.77832
item_2896,-0.928261,1.05892,4.62188
item_2897,1.02018,-1.70109,-4.97624
item_2898,4.77653,-1.35974,4.80364
item_2899,-4.10461,1.63256,-1.36934
item_2900,4.75554,-1.30757,4.78272
item_2901,-0.0414671,-0.760353,2.255
item_2902,0.856287,-1.32752,2.31508
item_2903,0.830319,-0.151435,-4.52633
item_2904,3.07134,1.35066,-3.83979
item_2905,2.29426,-0.349904,5.07894
item_2906,-1.07525,1.41968,3.32914
item_2907,-6.09119,-3.49633,1.46525
item_2908,-3.77792,-5.15705,0.725046
item_2909,1.79557,3.34436,1.6045
item_2910,3.26436,1.23666,-4.06831
item_2911,-4.57836,1.25394,-1.17224
item_2912,1.51028,0.166354,-4.75721
item_2913,-0.300561,-0.281334,2.82638
item_2914,-4.60934,2.17247,-0.902163
item_2915,3.55534,-0.719773,5.57359
item_2916,-0.537807,0.937192,4.97798
item_2917,-0.39551,-0.35578,2.604
item_2918,-1.62331,0.894218,4.14821
item_2919,-6.59735,-2.69241,2.34654
item_2920,4.37325,-0.603375,5.01766
item_2921,-7.32398,-3.34038,2.01386
item_2922,-0.435131,-0.264498,3.44606
item_2923,0.379021,-1.78413,-4.92776
item_2924,-4.71471,1.98378,-0.928994
item_2925,1.5789,1.9232,-4.99967
item_2926,-4.67833,1.93553,-0.870325
item_2927,-1.50483,1.51876,4.9219
item_2928,-0.0872046,2.05616,4.26583
item_2929,-5.34284,1.09936,-1.65801
item_2930,3.11069,1.77084,-4.65056
item_2931,-4.28907,2.24554,-0.704221
item_2932,-1.32465,0.881722,4.81277
item_2933,-4.17644,-4.97216,1.16578
item_2934,-0.586614,0.470863,4.04208
item_2935,1.4565,-2.62293,-5.09881
item_2936,4.2945,-0.370325,5.43096
item_2937,1.99238,3.59361,1.9806
item_2938,-4.65793,-4.32846,1.14903
item_2939,-6.13279,-3.4728,1.9798
item_2940,2.89023,3.30757,3.1433
item_2941,-1.28644,1.09604,3.47987
item_2942,-1.41182,1.43667,4.93928
item_2943,-0.791301,0.362224,4.08786
item_2944,0.296287,0.93669,-4.888
item_2945,3.74177,-0.441266,5.44769
item_2946,0.943359,-1.15923,2.66182
item_2947,-0.250964,-0.160687,2.4222
item_2948,-4.22711,2.01722,-0.847029
item_2949,-0.300193,-0.320466,2.76274
item_2950,3.22023,2.25948,-4.38113
item_2951,3.46955,-0.108824,-4.35997
item_2952,-1.21131,1.80596,2.78721
item_2953,4.80791,-1.47348,4.77196
item_2954,2.43114,1.67455,-4.91794
item_2955,-3.81577,1.73485,-0.566715
item_2956,3.15579,-0.195513,5.36058
item_2957,2.96492,0.737156,-4.7031
item_2958,-4.53186,-4.98258,1.40017
item_2959,-0.620321,1.79834,3.48739
item_2960,2.91885,2.92881,3.21725
item_2961,-0.833043,1.82902,4.4118
item_2962,-0.263481,1.97144,4.80328
item_2963,0.264372,-1.65474,-5.34747
item_2964,0.144425,1.31156,-5.17129
item_2965,-1.37924,1.05962,4.65734
item_2966,0.987425,-1.32409,2.35732
item_2967,-0.315266,-0.00839677,4.3403
item_2968,-4.85201,1.99333,-1.60631
item_2969,-0.471434,-0.0906327,3.1225
item_2970,3.27517,2.18644,-4.51552
item_2971,-6.89753,-3.75914,2.36294
item_2972,-0.928505,2.24803,2.97812
item_2973,-1.54244,1.19996,3.84282
item_2974,1.50927,1.53213,-4.61503
item_2975,3.23892,-1.63169,5.63621
item_2976,4.31669,-0.34358,5.42229
item_2977,2.24671,3.57778,1.70374
item_2978,-3.06907,-5.9864,1.00724
item_2979,-5.09172,1.36904,-1.3419
item_2980,2.99122,3.34699,2.64053
item_2981,1.59183,1.93896,-4.09784
item_2982,-0.10213,2.13125,4.43629
item_2983,2.84441,0.109259,-3.67821
item_2984,0.40252,1.24972,-5.38927
item_2985,2.49058,-1.38459,-4.60185
item_2986,3.23167,2.12886,-4.52724
item_2987,3.01324,2.37993,-4.33806
item_2988,-0.997868,2.29504,3.00246
item_2989,-4.77369,-4.78393,1.78076
item_2990,1.44778,1.69417,-4.27563
item_2991,0.407113,-1.26054,-4.2392
item_2992,-4.21851,-4.23723,1.35207
item_2993,-4.83678,0.80168,-1.82416
item_2994,-0.347954,-0.296748,2.91112
item_2995,-4.04592,-5.19761,0.825562
item_2996,2.65324,1.18339,-4.41215
item_2997,3.40803,-1.08923,5.66209
item_2998,1.3496,2.06898,-4.7495
item_2999,-6.52258,-3.3116,1.57325
item_3000,0.862893,-1.05136,2.72918
item_3001,0.4474,-1.40856,-4.99734
item_3002,3.05407,0.122827,5.06793
item_3003,-1.09727,1.53554,2.58061
item_3004,-0.979702,2.92043,2.37893
item_3005,-7.26767,-3.71551,1.86318
item_3006,-0.100938,2.08881,4.57405
item_3007,2.96424,2.86056,3.10991
item_3008,0.996453,-1.30385,2.37021
item_3009,3.13854,1.53231,-4.05982
item_3010,0.121913,1.32118,-5.18001
item_3011,-6.02373,-3.42947,1.598
item_3012,-0.916805,2.56731,3.01548
item_3013,4.61938,-1.48455,5.08076
item_3014,-0.50862,1.11838,4.53281
item_3015,-0.87681,1.72174,2.26
item_3016,4.34847,-0.313003,5.3554
item_3017,4.39895,-1.77299,5.2408
item_3018,2.90555,3.15789,3.10365
item_3019,0.532859,-1.28872,-4.21506
item_3020,-2.24165,-5.97524,0.625321
item_3021,1.2429,-0.0850547,-4.47179
item_3022,4.35314,-0.392272,5.35773
item_3023,1.27897,-0.805241,-4.40829
item_3024,3.15461,3.40609,2.88372
item_3025,3.12772,-1.10046,5.61544
item_3026,0.454401,-1.10035,2.4079
item_3027,-1.47372,0.687347,3.39178
item_3028,-0.888127,2.0888,3.19195
item_3029,-0.665733,2.89097,2.26504
item_3030,-0.987915,1.63485,2.81307
item_3031,-5.25651,1.20251,-1.53154
item_3032,0.0218444,-0.443517,2.82272
item_3033,-1.44186,1.66455,3.19077
item_3034,-1.19408,0.852575,4.84542
item_3035,-1.72379,0.976971,4.29281
item_3036,4.50685,-0.627143,5.42348
item_3037,-5.36014,1.1812,-1.6753
item_3038,0.0369121,1.05234,-5.64391
item_3039,1.06156,-0.605607,-4.4808
item_3040,0.487396,1.45957,-5.32985
item_3041,-1.33301,1.45023,2.9075
item_3042,-2.91787,-5.65555,0.65419
item_3043,2.73005,3.3348,2.31753
item_3044,-4.99768,1.9349,-1.651
item_3045,1.54632,-1.36494,-4.40409
item_3046,-3.96942,-5.23981,0.83727
item_3047,-3.85921,2.00571,-0.41483
item_3048,-0.676219,1.17888,4.64262
item_3049,-1.31752,1.69902,4.94989
item_3050,3.34281,-0.123656,5.38983
item_3051,-5.14452,1.02496,-2.3319
item_3052,-1.19203,1.5643,3.46112
item_3053,1.01392,-1.69444,-5.00058
item_3054,-4.96993,1.93431,-1.62603
item_3055,1.91595,3.62068,1.93048
item_3056,2.37153,1.99867,-4.76774
item_3057,1.00586,-2.00619,-5.0843
item_3058,-0.830537,1.81779,4.6442
item_3059,-5.26963,0.681525,-2.44638
item_3060,3.44574,1.70781,-4.77249
item_3061,1.86616,2.72173,1.57778
item_3062,0.403126,1.36055,-5.39407
item_3063,-1.0215,-0.0794454,4.14369
item_3064,2.02901,1.82562,-5.01134
item_3065,3.0203,2.94406,2.96097
item_3066,2.28218,2.4578,-4.74477
item_3067,-1.00586,1.42064,2.57523
item_3068,4.23092,-0.131019,5.13465
item_3069,-5.52541,-4.11598,2.20564
item_3070,1.33633,1.95931,-4.75742
item_3071,-6.49999,-2.45239,2.59052
item_3072,0.275991,1.33449,-4.87059
item_3073,0.448899,-1.38844,-4.1261
item_3074,-0.945229,2.14097,2.65534
item_3075,0.953803,-1.72213,-5.16808
item_3076,-0.176582,2.04697,4.51581
item_3077,1.2796,0.715123,-5.15574
item_3078,2.86763,3.08032,3.24596
item_3079,2.86925,2.89476,3.24773
item_3080,3.08013,2.37711,-4.42695
item_3081,-4.76419,-3.7909,1.59483
item_3082,3.24016,2.23448,-4.44679
item_3083,-0.0685006,2.01993,4.11001
item_3084,1.31997,1.12375,-5.02929
item_3085,1.40904,-0.120092,-4.43741
item_3086,0.965667,-1.31531,2.38384
item_3087,-0.650883,2.09982,3.35583
item_3088,3.1648,2.35163,-4.46312
item_3089,0.794777,0.397013,-4.23124
item_3090,-4.30964,2.27202,-0.739968
item_3091,1.40967,-1.62133,-4.81412
item_3092,0.241837,1.37349,-5.00375
item_3093,0.892477,-2.08813,-5.28803
item_3094,-0.707643,2.50325,2.82429
item_3095,-1.46573,0.49282,3.61302
item_3096,1.54038,2.40611,-4.89748
item_3097,-5.03638,0.827172,-2.05146
item_3098,-4.7801,2.287,-1.22848
item_3099,-4.72537,1.09127,-1.36876
item_3100,1.29371,1.606,-4.74747
item_3101,0.305151,-1.11385,-4.6198
item_3102,0.179312,1.30396,-5.11104
item_3103,3.11913,3.12336,2.6147
item_3104,-2.83462,-5.76953,0.694934
item_3105,0.61853,-1.87034,-4.42102
item_3106,3.15631,3.27112,3.00272
item_3107,4.26724,-1.90157,5.4453
item_3108,3.24416,-0.11228,5.33211
item_3109,-1.405,1.59735,4.94565
item_3110,-4.7433,2.21918,-1.20988
item_3111,0.566098,-0.588007,-5.15701
item_3112,-2.85986,-5.84703,0.768471
item_3113,2.19717,3.12923,2.16516
item_3114,-3.3812,-5.70715,1.24103
item_3115,-1.44501,1.71261,3.15668
item_3116,-5.22543,1.83386,-1.8021
item_3117,3.29953,-0.162078,-3.95705
item_3118,0.433159,0.861247,-5.48797
item_3119,-0.731032,0.187187,3.59384
item_3120,0.0469487,1.4578,4.64214
item_3121,-7.44195,-3.50228,2.0465
item_3122,1.35749,2.00656,-4.74315
item_3123,-6.73797,-3.17575,2.48625
item_3124,-4.83224,2.14341,-1.15829
item_3125,-1.06354,1.25632,4.70604
item_3126,0.483338,1.4582,-5.44546
item_3127,-0.964753,0.225169,3.72984
item_3128,-4.77608,2.32837,-1.16445
item_3129,3.90019,-1.96406,5.51301
item_3130,-5.01834,1.5499,-1.21713
item_3131,-6.62199,-3.30978,1.60391
item_3132,4.51013,-0.439082,5.14566
item_3133,-6.14279,-3.77446,2.25951
item_3134,3.12364,3.3676,3.1439
item_3135,1.37856,3.15677,1.81369
item_3136,4.2144,-0.328541,5.41235
item_3137,-3.9527,2.03359,-0.586191
item_3138,0.0641011,-0.831228,2.19876
item_3139,0.781682,-2.1319,-5.17177
item_3140,-4.81913,1.88208,-1.66804
item_3141,1.16099,0.93878,-3.91947
item_3142,0.677829,-1.17738,2.46578
item_3143,1.87392,3.31741,1.8772
item_3144,4.57123,-1.099,5.66913
item_3145,-0.915254,2.23882,3.20358
item_3146,-3.94719,-5.12197,0.852852
item_3147,1.90286,2.43918,-4.74498
item_3148,3.22789,3.49198,2.86236
item_3149,-1.23102,0.750945,3.66454
item_3150,-4.29484,-5.09544,1.60679
item_3151,-4.51537,-3.55584,1.54699
item_3152,3.40431,1.9501,-4.67337
item_3153,-0.943378,1.60263,2.98296
item_3154,-1.03863,2.26504,2.63939
item_3155,-1.51897,1.39865,2.96439
item_3156,-4.17088,-5.02675,1.23098
item_3157,3.38703,3.12298,2.52473
item_3158,0.102915,1.32375,-5.23484
item_3159,-1.2153,1.55711,2.65486
item_3160,-0.0880875,2.04257,4.65077
item_3161,3.27585,-1.07076,5.71052
item_3162,2.88089,3.01361,3.25906
item_3163,2.7504,0.0630415,-3.83916
item_3164,-1.46905,2.10191,2.64801
item_3165,1.27987,-2.06569,-4.80805
item_3166,2.89589,2.96488,3.26047
item_3167,2.6776,3.31292,2.32192
item_3168,3.16993,2.36365,-4.47928
item_3169,1.19137,1.06539,-4.97164
item_3170,1.44421,2.22262,-4.76542
item_3171,-0.340192,-0.283564,2.87277
item_3172,0.325111,1.45304,4.4343
item_3173,-5.01703,0.6472,-2.01157
item_3174,1.50194,2.07156,-4.85106
item_3175,-1.32885,1.65174,4.90577
item_3176,3.22134,-0.13216,5.39714
item_3177,2.49857,3.24661,1.6538
item_3178,-4.88634,-4.5652,1.81209
item_3179,-0.870896,3.08627,2.77309
item_3180,2.4959,3.15858,2.31386
item_3181,-0.581878,0.0393697,3.55684
item_3182,-0.325821,1.06382,5.01009
item_3183,0.423124,1.12341,-4.75908
item_3184,0.300626,0.384171,-4.88612
item_3185,0.727432,1.32126,-5.4329
item_3186,0.305204,-0.584804,2.39006
item_3187,1.17968,-2.38085,-4.79358
item_3188,-4.54752,1.74503,-1.5108
item_3189,-0.289057,0.0406184,2.89583
item_3190,3.09884,1.75334,-3.96033
item_3191,1.33025,-1.35336,-4.53911
item_3192,-0.933982,2.95745,2.36172
item_3193,-1.24543,1.76826,4.21565
item_3194,1.5602,1.74943,-4.28414
item_3195,0.598199,-2.24252,-5.39925
item_3196,3.38874,-0.188799,5.26411
item_3197,-1.45831,1.69483,2.79271
item_3198,-4.19126,-5.0103,1.46085
item_3199,4.38877,-0.448524,5.47143
item_3200,3.00096,3.30307,2.56512
item_3201,1.32563,3.22868,1.8626
item_3202,0.246059,1.37973,4.87137
item_3203,1.54993,-1.46183,-4.52656
item_3204,0.145084,0.527537,-5.09718
item_3205,3.21236,-1.10691,5.63202
item_3206,0.359903,-0.651248,1.98803
item_3207,3.00245,0.730338,-3.57299
item_3208,-4.77212,1.92806,-1.18557
item_3209,1.45381,3.19002,1.78084
item_3210,3.11236,1.7421,-3.94657
item_3211,2.68057,1.07974,-3.81932
item_3212,-1.07505,3.25721,2.55032
item_3213,-7.08399,-3.71159,2.25217
item_3214,3.28351,-0.200515,5.17191
item_3215,2.99813,1.66559,-4.06486
item_3216,-0.163877,1.66176,5.0449
item_3217,-0.730254,-0.129405,4.6659
item_3218,0.513504,1.21907,-5.24007
item_3219,0.591221,-1.42614,-4.61433
item_3220,0.476912,-0.731537,2.00511
item_3221,2.55079,2.80257,3.06327
item_3222,-3.96539,2.13137,-0.617095
item_3223,0.64194,-1.37425,-5.37469
item_3224,3.13439,1.61691,-3.88722
item_3225,2.10637,3.62009,1.69183
item_3226,-0.768038,2.87974,2.29253
item_3227,-6.30623,-3.74858,2.41291
item_3228,1.35258,1.98941,-4.62544
item_3229,3.5195,0.342327,-4.19541
item_3230,-3.9056,1.63672,-1.07067
item_3231,-6.99802,-3.5231,2.14175
item_3232,2.94518,-0.0744685,5.19922
item_3233,0.752114,-0.0514707,-4.5821
item_3234,-0.35336,1.50415,5.02118
item_3235,-6.6239,-3.5363,2.41895
item_3236,1.12724,0.836379,-4.26999
item_3237,3.01439,0.232728,-3.54126
item_3238,-4.74989,-4.7655,1.71885
item_3239,0.619736,-1.56643,-4.91358
item_3240,0.519155,0.964559,-4.56056
item_3241,0.408522,-1.59647,-5.01203
item_3242,2.94845,-0.040413,5.21078
item_3243,2.32599,3.1236,2.20069
item_3244,-0.609283,3.25421,1.99307
item_3245,3.5163,3.20544,2.87172
item_3246,-4.78536,1.94961,-1.57797
item_3247,2.47528,-1.26836,-4.53391
item_3248,3.0642,0.0432301,5.15494
item_3249,3.92548,-0.513412,5.32522
item_3250,3.11841,1.71039,-4.17148
item_3251,3.1936,-0.0119756,-4.63242
item_3252,-0.77967,3.47558,2.6952
item_3253,2.7319,0.213135,-3.45002
item_3254,3.03371,1.58165,-4.49479
item_3255,-0.906855,0.54736,4.08898
item_3256,3.04083,2.34512,-4.36246
item_3257,0.490644,-1.51815,-4.7776
item_3258,1.39351,1.86163,-4.47856
item_3259,-0.744319,0.0260685,4.76981
item_3260,3.29758,-0.0586806,5.33985
item_3261,0.993633,-0.265254,-4.51692
item_3262,0.5573,1.27719,-4.9448
item_3263,3.1511,-1.46564,5.52427
item_3264,1.00096,0.504865,-4.36694
item_3265,-0.259966,1.4905,5.0485
item_3266,1.17647,0.661397,-3.93926
item_3267,-1.12437,0.0917278,3.76727
item_3268,2.32341,1.64811,-4.31054
item_3269,-3.08125,-5.18913,0.887675
item_3270,2.81154,-0.205584,5.26274
item_3271,2.37787,-0.776079,-3.74871
item_3272,0.524325,-0.799016,1.93504
item_3273,-6.4894,-3.07238,1.96932
item_3274,-0.832072,3.54702,2.26507
item_3275,2.87421,3.34239,2.30465
item_3276,0.460624,-0.753328,1.92711
item_3277,2.97355,1.86114,-3.93838
item_3278,1.23167,0.757491,-4.21337
item_3279,0.702784,-1.902,-5.00649
item_3280,-0.915117,2.52941,2.52092
item_3281,0.827811,-0.196992,-4.56368
item_3282,-1.03256,2.55748,2.5156
item_3283,3.15157,-0.00499192,-3.65391
item_3284,3.21691,0.957056,-4.55535
item_3285,1.1404,-1.67793,-4.60401
item_3286,0.523237,-0.741906,1.95378
item_3287,3.76619,-0.516037,5.47073
item_3288,-3.92158,1.84408,-0.802426
item_3289,-4.97131,1.24787,-1.25518
item_3290,-5.48771,-3.7222,1.55569
item_3291,0.426572,-2.01856,-4.74528
item_3292,-0.469051,1.80406,4.89815
item_3293,1.39557,0.721108,-4.47142
item_3294,-0.832211,2.45352,2.60301
item_3295,-4.77171,1.08454,-1.41477
item_3296,-4.65487,-4.89134,1.48529
item_3297,0.905375,-1.729,-4.40428
item_3298,-3.95232,2.29204,-0.504733
item_3299,3.51173,1.01163,-4.37998
item_3300,-0.607086,3.22641,2.01629
item_3301,3.4323,3.61623,2.46236
item_3302,0.536102,-0.730865,2.10078
item_3303,1.32206,-1.67693,-4.64565
item_3304,1.51508,1.59896,-4.65945
item_3305,1.52087,2.93766,2.35347
item_3306,2.94846,3.21974,3.08167
item_3307,-6.54326,-3.41601,2.27937
item_3308,2.45532,3.10874,2.43178
item_3309,1.48303,2.61164,1.50972
item_3310,3.77499,-0.269835,5.20635
item_3311,1.31316,0.369692,-3.93593
item_3312,1.53059,2.29019,-4.78924
item_3313,0.440253,-2.0233,-4.74565
item_3314,2.60184,3.41243,2.95089
item_3315,-1.08984,0.614534,3.89273
item_3316,0.321257,1.05596,-4.59083
item_3317,1.23948,-0.704156,-4.23083
item_3318,3.20483,1.11324,-3.93376
item_3319,-1.24661,1.69923,4.92892
item_3320,-0.427948,1.52519,4.99173
item_3321,-1.56273,1.10917,4.52811
item_3322,-4.5423,-3.88198,1.58139
item_3323,0.659054,-1.77703,-4.32421
item_3324,-0.598781,1.65643,4.98646
item_3325,3.52623,0.758455,-4.3223
item_3326,-4.69557,1.829,-1.66096
item_3327,0.756756,-1.11095,1.76117
item_3328,-3.89863,2.19803,-0.549989
item_3329,4.70474,-1.7497,5.44623
item_3330,3.05166,3.27702,2.33349
item_3331,-5.53962,0.632018,-2.571
item_3332,-3.11657,-5.24453,0.754462
item_3333,-0.572624,1.9656,4.52687
item_3334,3.11887,3.35151,2.53948
item_3335,0.957466,-1.7946,-5.20444
item_3336,-4.0659,2.25648,-0.689457
item_3337,-0.90838,0.119839,4.52088
item_3338,3.3794,-0.250435,5.43796
item_3339,-1.05537,1.09359,3.21396
item_3340,3.25026,3.32349,2.87179
item_3341,-0.0460427,0.962146,-4.93732
item_3342,2.9846,3.38555,2.14282
item_3343,2.61967,2.82093,2.48668
item_3344,3.08476,1.65636,-4.44784
item_3345,-7.18119,-3.6797,1.87284
item_3346,-4.64435,-4.85146,1.42739
item_3347,1.48765,-2.50572,-5.04474
item_3348,-0.0633849,2.05272,4.79511
item_3349,1.40522,-1.38289,-4.52994
item_3350,3.22942,2.26407,-4.528
item_3351,1.02241,1.71835,-4.5549
item_3352,0.364955,1.44833,-5.10897
item_3353,0.917454,-1.35469,-4.74752
item_3354,-0.938487,2.77327,2.26768
item_3355,-0.19233,2.12065,4.51568
item_3356,2.04943,1.76369,-3.79516
item_3357,1.11628,-1.40822,1.96952
item_3358,2.52106,3.1068,2.35167
item_3359,-1.67336,1.30327,4.62939
item_3360,1.53032,1.62809,-4.25282
item_3361,0.830019,-0.0588702,-4.52433
item_3362,0.500174,-0.805242,1.91117
item_3363,2.64875,3.42176,1.8369
item_3364,-3.97658,2.35424,-0.463799
item_3365,-3.78982,1.84913,-0.510548
item_3366,-0.771692,3.52061,2.23346
item_3367,-3.99544,2.21726,-0.559136
item_3368,2.7736,0.254866,4.94085
item_3369,3.15845,-0.364322,-3.9532
item_3370,3.16466,0.0451583,5.25493
item_3371,0.696468,-2.56949,-5.45793
item_3372,1.06292,0.988113,-5.24242
item_3373,3.13353,1.93658,-4.26185
item_3374,-3.82013,-5.26363,1.09702
item_3375,-1.14009,1.37599,4.57643
item_3376,-3.91285,-5.42331,1.41823
item_3377,4.63289,-1.8442,5.56536
item_3378,4.36117,-0.941281,5.53771
item_3379,-0.283432,-0.12932,3.28824
item_3380,-3.24836,-5.39834,0.785361
item_3381,-6.23214,-3.46214,1.53108
item_3382,3.1988,2.9813,2.59169
item_3383,1.70272,-2.32297,-5.01094
item_3384,-0.585575,1.94553,4.6163
item_3385,-0.253921,-0.490476,2.54072
item_3386,-0.0766133,-0.777465,2.20512
item_3387,-0.861258,0.373506,4.99281
item_3388,-4.14388,1.61827,-1.04129
item_3389,1.19451,-0.114422,-4.40501
item_3390,1.33171,0.853715,-4.53663
item_3391,1.62201,3.16508,1.75742
item_3392,4.82914,-1.56544,5.3393
item_3393,-0.331601,-0.153511,3.53195
item_3394,-2.32692,-6.0015,0.667882
item_3395,-6.79197,-3.68078,1.71591
item_3396,3.23367,3.03509,3.23832
item_3397,3.79414,-0.579389,5.52154
item_3398,-0.483697,1.97995,4.645
item_3399,1.39612,-1.28258,-4.44445
item_3400,0.223911,1.33331,-5.34285
item_3401,-1.14566,0.860469,4.98095
item_3402,0.206583,-0.910975,1.79735
item_3403,-0.717709,0.13265,4.85923
item_3404,-4.03685,2.25813,-0.687887
item_3405,-1.56449,0.544489,4.63786
item_3406,2.75773,2.4727,-4.28842
item_3407,-6.81055,-3.75615,1.74407
item_3408,-0.89985,3.63685,2.32803
item_3409,2.28973,1.83006,-3.52418
item_3410,4.74348,-1.22407,5.20689
item_3411,4.08154,-1.1794,5.5316
item_3412,-2.72666,-5.91371,0.775261
item_3413,-7.26076,-3.70536,1.87185
item_3414,2.89158,2.82593,3.10519
item_3415,1.0786,-1.7593,-4.66709
item_3416,0.112437,1.93621,4.12993
item_3417,-0.973914,-0.0453004,3.68488
item_3418,0.374622,1.4315,-5.43851
item_3419,-6.55752,-3.37967,1.58393
item_3420,0.391829,-0.998149,1.77022
item_3421,-1.22227,1.96051,2.41582
item_3422,-4.26319,2.30487,-0.754653
item_3423,-1.0755,1.69331,4.6265
item_3424,3.31003,2.19255,-4.54871
item_3425,-0.0383102,0.827859,4.86383
item_3426,-0.98285,3.41879,2.53587
item_3427,2.17743,-1.35313,-4.56028
item_3428,-3.45545,-5.60021,1.00846
item_3429,3.11293,1.58884,-3.88355
item_3430,3.27521,-1.20831,5.72588
item_3431,-5.33028,-3.78184,1.50922
item_3432,-4.08178,-5.37376,1.3916
item_3433,-1.54095,1.95357,2.87917
item_3434,-0.212555,-0.609604,2.33351
item_3435,3.02206,-0.765169,5.53344
item_3436,-1.18981,1.69358,4.88418
item_3437,0.750126,-2.39048,-5.49422
item_3438,0.969308,2.07463,-5.15135
item_3439,-1.07418,3.376,2.5382
item_3440,0.3854,0.955627,-5.46445
item_3441,-4.85485,-4.41824,1.74096
item_3442,2.66013,-0.189423,5.21737
item_3443,2.78007,-1.04373,-4.80009
item_3444,4.32465,-1.02893,5.6968
item_3445,3.03514,3.33247,1.84582
item_3446,-4.03852,2.33523,-0.487953
item_3447,-1.49693,1.79133,2.57881
item_3448,1.47581,1.5841,-4.27587
item_3449,3.30486,1.13942,-3.95309
item_3450,-4.60508,2.1259,-0.809745
item_3451,0.908318,-1.34229,-4.59179
item_3452,-3.98173,1.94044,-0.523244
item_3453,-0.948554,0.97041,4.68114
item_3454,0.258879,-0.899359,1.76035
item_3455,-4.39122,1.29032,-1.48352
item_3456,0.25395,1.43402,-4.87574
item_3457,-6.94275,-2.96766,2.12021
item_3458,0.418346,1.55179,-4.69682
item_3459,0.588068,-1.31319,-4.20952
item_3460,0.112777,0.621833,-5.14493
item_3461,-1.07398,0.678239,4.93947
